"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"PercentSalaryHike4","193","4",22,4237,15.4467783809299,3.55608140362688,14,15.1049837805957,2.9652,11,25,14,0.765567900961302,-0.370709824979108,0.054631416604829
"PercentSalaryHike5","194","5",22,1711,15.0847457627119,3.29936303124312,14,14.8115412710007,2.9652,11,25,14,0.643250235029241,-0.53141324035907,0.079763664688378
"PercentSalaryHike6","195","6",22,1074,14.6294227188082,3.72574607602373,14,14.0127906976744,2.9652,11,25,14,1.24737611491267,0.704188797894886,0.113687080017687
"PercentSalaryHike7","196","7",22,1484,15.177897574124,3.93207971309703,14,14.7171717171717,4.4478,11,25,14,0.836033363241722,-0.376241883710175,0.102071703531516
"PercentSalaryHike8","197","8",22,4202,14.9671584959543,3.49983737754078,14,14.5404521118382,2.9652,11,25,14,0.934595575979043,-0.025517413332327,0.053990809742995
"PercentSalaryHike9","198","9",22,3971,15.36262906069,3.77342604525972,14,14.9619137551149,2.9652,11,25,14,0.754203346634066,-0.482436800388766,0.059880566345843
"PerformanceRating1","199","1",23,4340,3.15552995391705,0.362450903003796,3,3.06941244239631,0,3,4,1,1.90034386588896,1.61167832233458,0.005501793948912
"PerformanceRating2","200","2",23,1200,3.18333333333333,0.387100884526532,3,3.10416666666667,0,3,4,1,1.63473032702973,0.672906079931976,0.011174639994247
"PerformanceRating3","201","3",23,1313,3.14775323686215,0.354990415587665,3,3.05994291151285,0,3,4,1,1.98303092926868,1.93388628223671,0.009796800508193
"PerformanceRating4","202","4",23,4237,3.15600660844937,0.362904436175406,3,3.07018578590386,0,3,4,1,1.8953320450633,1.5926596213728,0.005575233294777
"PerformanceRating5","203","5",23,1711,3.14494447691408,0.352147770787974,3,3.05624543462381,0,3,4,1,2.01533582811542,2.06278512670503,0.008513339224544
"PerformanceRating6","204","6",23,1074,3.1340782122905,0.340895068525195,3,3.04302325581395,0,3,4,1,2.14483054854127,2.60272407497645,0.010402041401174
"PerformanceRating7","205","7",23,1484,3.17385444743935,0.379112026848678,3,3.09259259259259,0,3,4,1,1.71941671510007,0.957040107832014,0.009841257866884
"PerformanceRating8","206","8",23,4202,3.13969538315088,0.346711970791917,3,3.04967281380131,0,3,4,1,2.07791424128931,2.31827947263027,0.005348608529862
"PerformanceRating9","207","9",23,3971,3.16670863762277,0.372762470507796,3,3.08341202392194,0,3,4,1,1.78777348792915,1.19643552763303,0.005915374404786
"RelationshipSatisfaction1","208","1",24,4340,2.7184331797235,1.07238862579921,3,2.77304147465438,1.4826,1,4,3,-0.297088397640288,-1.17029054689426,0.01627823576492
"RelationshipSatisfaction2","209","2",24,1200,2.78583333333333,1.08824914919846,3,2.85729166666667,1.4826,1,4,3,-0.348443621339137,-1.19846943164141,0.031415046961756
"RelationshipSatisfaction3","210","3",24,1313,2.78370144706778,1.03761981785622,3,2.85442435775452,1.4826,1,4,3,-0.369573890415315,-1.0410262427863,0.028635574124042
